location,area_sqft,bedrooms,bathrooms,parking_spaces,house_age,floors,has_garden,has_pool,renovation_year,price
Suburb,1904.0,6.0,6.0,0,40.0,2,0,0,2010.0,370900.0
Rural,1543.0,5.0,2.0,0,44.0,3,0,0,2017.0,186700.0
Downtown,2429.0,2.0,2.0,0,43.0,1,0,0,,479300.0
Rural,1513.0,5.0,5.0,3,10.0,1,1,1,2008.0,271500.0
Uptown,726.0,6.0,4.0,2,11.0,2,1,0,2004.0,372900.0
Suburb,2328.0,6.0,6.0,0,17.0,2,0,0,2022.0,471400.0
Suburb,2523.0,2.0,2.0,1,,3,1,0,,344700.0
Midtown,2952.0,5.0,4.0,3,43.0,3,1,0,2011.0,534000.0
Suburb,2585.0,,3.0,1,47.0,3,1,0,,343000.0
Midtown,4783.0,5.0,1.0,0,36.0,3,1,0,,783200.0
Downtown,1580.0,6.0,6.0,1,19.0,3,0,0,2012.0,501800.0
Uptown,2820.0,5.0,3.0,0,24.0,3,0,1,2000.0,617300.0
Midtown,3690.0,1.0,1.0,3,11.0,2,0,0,2002.0,516900.0
Downtown,3130.0,3.0,2.0,1,20.0,3,1,0,2021.0,646800.0
Suburb,3063.0,4.0,2.0,1,24.0,2,1,0,,451500.0
Suburb,3792.0,1.0,,0,10.0,2,1,0,,453200.0
Downtown,4086.0,4.0,2.0,0,8.0,1,0,1,2017.0,896000.0
Suburb,4931.0,2.0,1.0,2,49.0,2,1,0,,510000.0
Downtown,3447.0,4.0,1.0,0,24.0,2,0,0,2019.0,713100.0
Midtown,4459.0,5.0,2.0,0,34.0,3,0,0,,703800.0
Midtown,3313.0,4.0,1.0,2,31.0,2,1,0,,594900.0
Downtown,3083.0,6.0,5.0,0,48.0,3,0,0,2001.0,701500.0
Midtown,661.0,1.0,1.0,0,13.0,3,0,1,,187800.0
Midtown,1093.0,1.0,1.0,2,0.0,3,1,0,2009.0,277200.0
Midtown,3759.0,4.0,4.0,3,16.0,1,0,0,,683900.0
Rural,4655.0,1.0,1.0,3,24.0,3,0,0,,486300.0
Uptown,3462.0,6.0,3.0,0,,2,0,0,2018.0,623000.0
Suburb,4388.0,1.0,1.0,0,4.0,3,1,1,,593700.0
Rural,3890.0,4.0,4.0,2,4.0,3,1,0,2008.0,455000.0
Midtown,1163.0,3.0,1.0,2,40.0,3,0,0,,201600.0
Downtown,1632.0,3.0,2.0,3,34.0,1,1,0,,452700.0
Midtown,1041.0,2.0,1.0,1,18.0,2,0,0,2008.0,183900.0
Uptown,3474.0,1.0,1.0,0,22.0,1,1,0,2008.0,606100.0
Midtown,1367.0,4.0,2.0,1,8.0,2,1,0,,307200.0
Downtown,2566.0,1.0,1.0,1,29.0,1,1,0,2023.0,518500.0
Uptown,931.0,5.0,4.0,2,49.0,2,1,1,2006.0,367100.0
Midtown,4778.0,6.0,,0,15.0,1,1,0,,855600.0
Uptown,1706.0,1.0,1.0,0,,3,1,1,,314300.0
Suburb,3028.0,1.0,1.0,2,1.0,1,1,0,2013.0,394000.0
Suburb,1669.0,3.0,1.0,1,13.0,1,1,0,,245600.0
Midtown,1330.0,6.0,4.0,2,45.0,3,0,0,,386300.0
Uptown,2151.0,4.0,2.0,3,0.0,3,0,1,2020.0,567500.0
Downtown,1636.0,1.0,1.0,0,25.0,2,0,0,,285100.0
Midtown,3310.0,3.0,1.0,3,24.0,2,0,0,2015.0,490800.0
Suburb,975.0,2.0,1.0,2,15.0,2,1,0,2015.0,164800.0
Suburb,3310.0,6.0,6.0,0,14.0,1,1,1,2018.0,667600.0
Midtown,1826.0,3.0,2.0,3,25.0,2,1,1,2010.0,454700.0
Uptown,1519.0,3.0,2.0,3,46.0,1,0,0,,288800.0
Suburb,2336.0,3.0,2.0,1,43.0,1,0,1,,379200.0
Uptown,,1.0,1.0,0,15.0,2,1,0,,784500.0
Suburb,2948.0,1.0,1.0,3,13.0,2,0,1,2015.0,443700.0
Suburb,4793.0,2.0,1.0,3,28.0,1,0,0,,580600.0
Rural,1783.0,5.0,4.0,1,23.0,3,1,0,,265400.0
Suburb,1159.0,5.0,4.0,3,46.0,3,1,0,2023.0,277700.0
Downtown,2510.0,5.0,2.0,3,14.0,1,1,0,2023.0,654800.0
Midtown,898.0,6.0,2.0,3,18.0,2,1,0,,275600.0
Midtown,,6.0,1.0,1,7.0,1,1,0,,461900.0
Uptown,2625.0,2.0,1.0,3,33.0,1,1,0,2002.0,510900.0
Suburb,2671.0,6.0,5.0,3,1.0,2,1,0,2005.0,491400.0
Downtown,574.0,5.0,1.0,0,26.0,3,0,0,,213200.0
Uptown,3971.0,5.0,4.0,0,9.0,1,1,1,,789400.0
Rural,1336.0,3.0,2.0,1,34.0,3,0,1,2001.0,183300.0
Uptown,999.0,6.0,4.0,2,22.0,3,0,1,2011.0,414700.0
Uptown,637.0,1.0,1.0,0,48.0,2,1,0,2023.0,118900.0
Suburb,2597.0,1.0,1.0,1,,1,1,0,,332600.0
Rural,4196.0,3.0,3.0,3,27.0,1,1,1,,447100.0
Uptown,,3.0,2.0,3,,3,1,1,2010.0,567200.0
Downtown,3257.0,3.0,3.0,1,3.0,3,1,0,,670100.0
Downtown,4420.0,1.0,1.0,3,13.0,2,1,0,,698400.0
Midtown,2400.0,5.0,4.0,3,41.0,3,1,0,,450500.0
Rural,3110.0,3.0,2.0,2,28.0,2,0,0,2017.0,324700.0
Rural,4486.0,2.0,2.0,3,0.0,1,0,0,2021.0,449500.0
Midtown,1949.0,3.0,2.0,0,3.0,2,1,0,2022.0,422800.0
Uptown,1046.0,4.0,4.0,3,31.0,3,0,1,2023.0,343700.0
Rural,2503.0,3.0,3.0,1,32.0,1,1,0,2008.0,275700.0
Downtown,2596.0,1.0,1.0,2,48.0,2,1,0,2020.0,409900.0
Downtown,1203.0,6.0,2.0,3,25.0,1,1,0,,423100.0
Suburb,2903.0,3.0,1.0,1,16.0,2,1,1,,386300.0
Rural,2125.0,6.0,6.0,0,38.0,3,1,0,2023.0,317800.0
Uptown,3831.0,,2.0,3,22.0,3,0,0,,737900.0
Midtown,3478.0,2.0,1.0,2,,1,0,0,2015.0,476200.0
Midtown,3339.0,6.0,4.0,3,14.0,1,0,0,,525900.0
Uptown,3884.0,5.0,2.0,1,12.0,1,1,0,,858400.0
Suburb,3159.0,3.0,3.0,2,1.0,2,0,0,2002.0,448200.0
Midtown,2361.0,4.0,2.0,3,18.0,3,1,0,2023.0,417200.0
Rural,3356.0,4.0,2.0,0,23.0,1,1,0,2000.0,373700.0
Suburb,1185.0,6.0,5.0,2,44.0,1,0,0,2005.0,279800.0
Rural,4783.0,2.0,1.0,0,23.0,1,0,0,,409500.0
Downtown,2119.0,1.0,1.0,1,10.0,2,1,0,,514500.0
Suburb,1931.0,3.0,3.0,3,21.0,1,1,1,2018.0,342200.0
Midtown,1375.0,4.0,4.0,0,14.0,1,1,0,,355800.0
Suburb,2961.0,2.0,2.0,1,9.0,2,1,0,,435400.0
Suburb,1865.0,5.0,3.0,3,40.0,2,1,0,,371100.0
Suburb,1743.0,4.0,2.0,1,26.0,1,1,0,,238000.0
Suburb,662.0,2.0,2.0,0,8.0,1,1,0,2008.0,183700.0
Rural,2474.0,1.0,1.0,1,27.0,2,1,0,2014.0,263700.0
Downtown,3791.0,1.0,1.0,2,0.0,3,0,0,2020.0,777300.0
Uptown,769.0,4.0,3.0,3,16.0,2,1,1,2013.0,347800.0
Suburb,1131.0,4.0,1.0,1,30.0,3,0,1,,208000.0
Midtown,1405.0,6.0,3.0,0,43.0,1,0,1,,342200.0
Suburb,3971.0,,1.0,3,9.0,1,0,0,,525800.0
Midtown,3753.0,2.0,2.0,2,36.0,3,1,0,,608300.0
Rural,2514.0,4.0,3.0,3,,2,0,0,,300400.0
Midtown,2141.0,3.0,3.0,2,17.0,1,0,0,,412400.0
Uptown,704.0,6.0,,3,46.0,3,1,0,2001.0,293400.0
Downtown,1081.0,3.0,3.0,1,37.0,2,1,0,2019.0,318200.0
Midtown,1340.0,4.0,3.0,1,38.0,3,1,0,2015.0,280600.0
Midtown,2219.0,1.0,1.0,0,48.0,2,1,0,2009.0,300700.0
Downtown,3143.0,2.0,2.0,2,5.0,2,1,0,,774200.0
Uptown,2797.0,2.0,1.0,0,39.0,2,1,0,,431400.0
Suburb,1374.0,1.0,1.0,1,11.0,2,0,0,,179400.0
Midtown,1189.0,4.0,2.0,2,13.0,3,1,1,,342600.0
Downtown,4500.0,2.0,1.0,0,43.0,3,1,0,,766200.0
Rural,3641.0,4.0,3.0,0,9.0,3,1,0,,437500.0
Downtown,1922.0,6.0,5.0,0,19.0,3,1,0,2008.0,665400.0
Rural,1171.0,4.0,1.0,0,14.0,3,1,0,2006.0,199100.0
Uptown,1671.0,3.0,1.0,0,30.0,2,1,0,2014.0,305200.0
Suburb,4226.0,1.0,1.0,2,,1,0,1,,568700.0
Downtown,1443.0,4.0,3.0,0,40.0,1,1,1,2016.0,460800.0
Midtown,1949.0,6.0,3.0,2,9.0,3,1,0,2002.0,549700.0
Uptown,4237.0,5.0,5.0,0,9.0,3,1,0,2014.0,838700.0
Downtown,3039.0,,1.0,1,47.0,1,1,0,,437500.0
Midtown,4459.0,2.0,2.0,1,38.0,2,0,0,2007.0,619600.0
Downtown,4760.0,3.0,1.0,0,27.0,3,0,1,2003.0,1141400.0
Rural,2861.0,2.0,2.0,3,29.0,2,0,0,,264300.0
Downtown,4152.0,6.0,5.0,1,36.0,1,1,1,,1043300.0
Downtown,4170.0,,5.0,2,2.0,1,1,0,,850500.0
Downtown,2253.0,2.0,1.0,0,49.0,3,0,0,2007.0,443900.0
Uptown,2852.0,1.0,1.0,2,42.0,2,0,0,2022.0,372000.0
Downtown,2438.0,2.0,1.0,3,,3,1,0,,453500.0
Midtown,870.0,4.0,2.0,0,20.0,1,0,0,,204400.0
Rural,4979.0,2.0,2.0,1,36.0,2,1,0,2014.0,471000.0
Rural,2431.0,3.0,2.0,2,11.0,3,0,0,,316600.0
Downtown,924.0,3.0,1.0,1,3.0,3,1,0,,350400.0
Uptown,1394.0,5.0,3.0,1,46.0,3,0,0,,284800.0
Uptown,1097.0,3.0,3.0,0,8.0,1,1,0,2017.0,320600.0
Midtown,3562.0,2.0,2.0,2,38.0,3,1,0,2001.0,531200.0
Downtown,2836.0,3.0,3.0,3,41.0,2,0,0,,535000.0
Rural,2187.0,1.0,1.0,1,27.0,3,1,0,2013.0,231700.0
Uptown,1072.0,3.0,2.0,0,22.0,1,1,0,2009.0,292000.0
Downtown,2590.0,4.0,2.0,0,44.0,3,1,1,,576100.0
Uptown,4169.0,1.0,1.0,3,39.0,1,1,0,2014.0,651900.0
Uptown,4772.0,5.0,,0,43.0,1,0,0,,823500.0
Rural,2133.0,4.0,2.0,1,21.0,2,1,0,2014.0,250200.0
Suburb,2017.0,2.0,2.0,0,,2,1,1,,315100.0
Midtown,4793.0,2.0,1.0,2,50.0,3,1,0,2020.0,647100.0
Midtown,,2.0,2.0,2,25.0,1,1,0,,513600.0
Rural,4148.0,4.0,2.0,1,29.0,1,0,0,2019.0,381800.0
Uptown,4088.0,4.0,1.0,2,32.0,2,1,0,,754400.0
Downtown,2037.0,4.0,2.0,3,15.0,2,1,0,2014.0,521500.0
Uptown,3637.0,1.0,1.0,0,21.0,3,0,0,,617800.0
Rural,597.0,6.0,2.0,1,48.0,1,1,1,2016.0,141600.0
Midtown,3715.0,1.0,1.0,3,49.0,2,1,1,2015.0,595500.0
Uptown,4250.0,2.0,1.0,0,42.0,3,0,0,,614000.0
Midtown,3657.0,6.0,1.0,3,17.0,1,0,0,2010.0,656500.0
Downtown,843.0,,3.0,1,6.0,1,1,0,,288400.0
Midtown,1110.0,2.0,2.0,1,,2,0,0,2002.0,173400.0
Midtown,2227.0,5.0,3.0,3,25.0,3,0,0,2018.0,439700.0
Suburb,2790.0,1.0,1.0,0,7.0,2,1,0,,362500.0
Suburb,2354.0,4.0,1.0,2,5.0,3,0,0,2008.0,326600.0
Suburb,3108.0,1.0,1.0,2,29.0,1,1,0,,368100.0
Midtown,2579.0,4.0,4.0,3,38.0,3,1,0,,472600.0
Rural,2824.0,6.0,4.0,1,22.0,3,1,0,2003.0,370000.0
Midtown,1677.0,5.0,2.0,0,31.0,3,1,0,2010.0,347800.0
Rural,1591.0,6.0,5.0,0,21.0,3,1,0,,290600.0
Rural,3291.0,5.0,2.0,1,41.0,3,0,0,,342300.0
Suburb,2249.0,1.0,1.0,2,42.0,2,1,1,2022.0,355000.0
Uptown,3175.0,4.0,2.0,0,44.0,3,1,1,,611500.0
Downtown,1281.0,6.0,5.0,3,8.0,3,0,0,2016.0,534300.0
Suburb,3548.0,5.0,1.0,2,30.0,1,1,0,2009.0,594900.0
Suburb,2605.0,2.0,2.0,3,6.0,3,1,0,,400100.0
Uptown,4367.0,2.0,2.0,2,8.0,1,1,0,,851600.0
Downtown,2613.0,6.0,5.0,1,12.0,2,1,0,2015.0,788800.0
Midtown,4470.0,4.0,3.0,3,2.0,2,1,0,,943100.0
Midtown,2491.0,6.0,2.0,3,34.0,3,1,0,2021.0,445100.0
Suburb,1567.0,1.0,1.0,1,32.0,2,1,0,2005.0,179900.0
Downtown,2077.0,,4.0,3,20.0,3,0,1,2006.0,596900.0
Suburb,1511.0,1.0,1.0,2,30.0,2,0,0,,189200.0
Rural,2774.0,2.0,1.0,0,33.0,3,1,0,,250000.0
Suburb,2314.0,5.0,2.0,0,31.0,3,1,0,2011.0,299400.0
Suburb,2926.0,6.0,2.0,1,34.0,1,0,0,2013.0,373500.0
Midtown,4902.0,1.0,1.0,2,14.0,1,0,0,2004.0,711400.0
Midtown,3051.0,3.0,2.0,3,31.0,1,0,0,,447600.0
Midtown,4157.0,4.0,4.0,3,5.0,1,1,0,2019.0,828800.0
Rural,507.0,4.0,1.0,0,44.0,3,1,1,,108200.0
Midtown,3055.0,3.0,3.0,3,20.0,2,1,0,2022.0,562300.0
Downtown,975.0,2.0,1.0,0,32.0,3,1,1,2014.0,290200.0
Uptown,2711.0,5.0,1.0,1,31.0,1,1,0,2000.0,528900.0
Downtown,984.0,,3.0,3,18.0,1,1,0,,386800.0
Downtown,,3.0,1.0,2,32.0,2,0,0,2022.0,610800.0
Midtown,4025.0,6.0,2.0,3,27.0,1,0,0,,704000.0
Uptown,3839.0,3.0,2.0,0,30.0,3,1,1,2002.0,719500.0
Uptown,3322.0,2.0,1.0,1,20.0,3,0,0,,598800.0
Uptown,3424.0,2.0,2.0,0,,3,1,0,,644500.0
Rural,758.0,1.0,1.0,3,14.0,3,1,0,,149800.0
Midtown,782.0,4.0,1.0,0,13.0,3,1,0,2021.0,227400.0
Uptown,2398.0,1.0,1.0,0,18.0,2,1,0,2013.0,423100.0
Rural,4635.0,3.0,2.0,1,,3,1,0,2015.0,496000.0
Suburb,3476.0,5.0,5.0,2,14.0,1,0,1,2017.0,481700.0
Suburb,2767.0,,4.0,3,5.0,1,1,0,2015.0,476800.0
Rural,3700.0,,2.0,1,8.0,1,1,0,,402700.0
Rural,,5.0,4.0,2,,1,0,0,2001.0,197600.0
Midtown,1187.0,5.0,5.0,0,19.0,2,0,0,2009.0,279800.0
Midtown,4190.0,5.0,2.0,2,,1,1,0,,608300.0
Suburb,1112.0,3.0,1.0,0,37.0,2,1,1,,164200.0
Uptown,2807.0,5.0,2.0,0,25.0,1,1,0,,600900.0
Suburb,3513.0,6.0,5.0,1,17.0,2,1,0,,584600.0
Uptown,2281.0,5.0,5.0,0,27.0,2,1,0,,630800.0
Uptown,3091.0,5.0,4.0,1,50.0,2,0,1,,650200.0
Midtown,3196.0,1.0,1.0,2,8.0,1,1,1,2002.0,645400.0
Downtown,4458.0,3.0,2.0,2,31.0,2,1,0,,821200.0
Downtown,1074.0,2.0,2.0,0,5.0,3,0,0,,300800.0
Rural,2410.0,1.0,1.0,1,13.0,3,1,0,2007.0,265900.0
Midtown,4104.0,4.0,3.0,0,27.0,1,1,1,2001.0,671100.0
Uptown,1169.0,3.0,3.0,1,,3,0,0,,321400.0
Downtown,4864.0,6.0,1.0,1,12.0,3,1,0,2002.0,1025000.0
Uptown,1783.0,3.0,1.0,1,42.0,3,1,0,,344000.0
Downtown,1423.0,4.0,2.0,2,11.0,1,1,0,,423100.0
Downtown,1625.0,4.0,2.0,1,50.0,1,0,0,,352000.0
Downtown,2029.0,4.0,2.0,2,18.0,3,1,1,2016.0,582100.0
Midtown,2094.0,2.0,2.0,1,20.0,1,0,0,2004.0,309700.0
Suburb,746.0,5.0,5.0,2,26.0,2,0,0,2019.0,236600.0
Uptown,4211.0,3.0,2.0,3,18.0,3,1,0,2016.0,762200.0
Midtown,2060.0,5.0,4.0,2,23.0,1,1,1,2009.0,464200.0
Midtown,2900.0,5.0,2.0,2,25.0,1,1,1,2008.0,489500.0
Midtown,2743.0,6.0,6.0,0,44.0,3,1,0,2021.0,624300.0
Midtown,4364.0,4.0,2.0,1,27.0,1,0,1,,742700.0
Midtown,2439.0,2.0,2.0,3,45.0,3,1,0,,457900.0
Rural,3569.0,6.0,1.0,0,17.0,1,1,0,2001.0,383500.0
Uptown,726.0,1.0,1.0,1,43.0,2,1,0,2022.0,150200.0
Midtown,4047.0,2.0,1.0,3,35.0,3,1,1,2011.0,612400.0
Uptown,764.0,5.0,2.0,3,41.0,2,1,1,,269200.0
Rural,1895.0,2.0,2.0,3,28.0,3,1,0,2015.0,220000.0
Rural,4057.0,4.0,4.0,1,16.0,1,1,0,2021.0,444600.0
Uptown,1145.0,1.0,1.0,3,3.0,2,1,0,,304700.0
Downtown,3490.0,4.0,3.0,3,43.0,1,1,1,2011.0,884900.0
Suburb,2399.0,1.0,1.0,0,44.0,3,0,0,2020.0,264800.0
Downtown,3004.0,6.0,2.0,2,28.0,3,0,0,,817300.0
Downtown,3272.0,5.0,5.0,1,3.0,3,1,0,2012.0,885000.0
Downtown,1654.0,1.0,1.0,2,9.0,3,0,0,,375400.0
Midtown,1087.0,,1.0,0,24.0,3,1,0,,208400.0
Rural,2321.0,1.0,1.0,2,30.0,2,0,0,2003.0,219600.0
Downtown,1485.0,2.0,2.0,3,2.0,3,0,0,,431100.0
Rural,4579.0,6.0,6.0,3,46.0,1,1,1,,498200.0
Uptown,3848.0,2.0,1.0,1,1.0,2,1,0,,752100.0
Suburb,4331.0,5.0,1.0,1,24.0,1,1,1,,714900.0
Uptown,1741.0,1.0,1.0,1,48.0,3,1,0,,272900.0
Uptown,689.0,6.0,6.0,0,5.0,1,1,0,,398900.0
Midtown,1480.0,6.0,1.0,1,25.0,2,0,0,2015.0,272300.0
Suburb,2198.0,3.0,3.0,0,7.0,2,0,0,2000.0,360900.0
Uptown,2215.0,5.0,2.0,3,34.0,2,1,0,,528400.0
Uptown,3093.0,6.0,4.0,2,26.0,1,1,0,,608300.0
Suburb,4636.0,1.0,1.0,3,,2,1,0,,502900.0
Suburb,4933.0,1.0,1.0,3,17.0,1,1,0,,495400.0
Uptown,1598.0,6.0,1.0,3,0.0,3,0,0,2001.0,500600.0
Suburb,2826.0,2.0,,1,47.0,3,0,0,2023.0,316200.0
Uptown,,5.0,4.0,1,38.0,1,1,0,2005.0,730400.0
Uptown,1395.0,1.0,1.0,1,2.0,2,1,0,,306200.0
Midtown,2174.0,6.0,2.0,2,3.0,1,0,0,2022.0,489500.0
Downtown,3409.0,1.0,1.0,1,40.0,1,0,1,,651600.0
Uptown,1430.0,6.0,3.0,0,36.0,1,0,0,2011.0,363800.0
Rural,4884.0,5.0,2.0,3,50.0,3,1,0,2003.0,461500.0
Downtown,1223.0,,6.0,2,14.0,1,1,0,2021.0,571000.0
Downtown,3440.0,3.0,,2,7.0,3,1,0,,809600.0
Downtown,1589.0,6.0,4.0,2,37.0,1,1,0,,524600.0
Midtown,1435.0,6.0,2.0,2,49.0,3,1,1,2004.0,335100.0
Uptown,2795.0,5.0,2.0,2,18.0,1,1,0,,539400.0
Midtown,655.0,6.0,2.0,0,46.0,1,0,0,,187400.0
Uptown,1570.0,5.0,1.0,3,25.0,2,0,0,2012.0,418700.0
Midtown,2458.0,3.0,3.0,2,38.0,2,0,0,,414500.0
Midtown,3001.0,5.0,2.0,3,9.0,1,1,0,2012.0,569400.0
Rural,4719.0,1.0,1.0,1,37.0,1,1,0,,417300.0
Midtown,4330.0,5.0,1.0,2,13.0,1,1,0,2009.0,743600.0
Suburb,1354.0,3.0,2.0,2,48.0,1,1,0,,180300.0
Rural,1139.0,4.0,3.0,3,40.0,2,0,0,2000.0,171600.0
Midtown,2738.0,6.0,5.0,2,18.0,3,1,0,,567800.0
Downtown,2102.0,5.0,1.0,2,29.0,1,1,0,2007.0,495800.0
Suburb,941.0,6.0,5.0,2,4.0,2,1,0,2006.0,299400.0
Suburb,1836.0,2.0,2.0,0,30.0,1,0,0,,217900.0
Suburb,4200.0,,1.0,0,6.0,1,1,0,,515900.0
Rural,1448.0,1.0,1.0,2,18.0,3,1,0,,168200.0
Midtown,3873.0,2.0,2.0,0,30.0,1,1,0,,526500.0
Midtown,959.0,2.0,,1,38.0,1,1,1,2022.0,234600.0
Downtown,892.0,5.0,1.0,2,23.0,3,1,0,,305000.0
Downtown,4438.0,2.0,1.0,1,33.0,3,0,0,2014.0,651700.0
Suburb,2287.0,4.0,2.0,3,22.0,3,0,0,2018.0,372100.0
Downtown,2757.0,6.0,4.0,1,47.0,3,0,0,,640500.0
Rural,1638.0,6.0,3.0,3,44.0,2,0,1,2013.0,254600.0
Midtown,4308.0,3.0,3.0,2,39.0,2,1,0,,695600.0
Suburb,2954.0,2.0,2.0,3,5.0,2,1,0,,481800.0
Downtown,1966.0,2.0,,3,37.0,1,1,0,,465600.0
Rural,4174.0,4.0,2.0,1,40.0,3,0,0,2023.0,413400.0
Rural,1877.0,1.0,1.0,1,35.0,3,1,0,,171700.0
Downtown,3097.0,1.0,1.0,1,26.0,2,0,0,2008.0,560400.0
Midtown,641.0,6.0,2.0,2,10.0,1,0,0,,251000.0
Downtown,3159.0,6.0,6.0,2,4.0,1,1,0,2010.0,959000.0
Suburb,1339.0,5.0,5.0,1,16.0,1,1,0,2009.0,322700.0
Downtown,4118.0,4.0,2.0,2,,2,1,1,,917500.0
Rural,4417.0,3.0,,2,26.0,1,0,0,2016.0,377900.0
Downtown,1095.0,3.0,2.0,3,46.0,1,1,0,2012.0,286300.0
Midtown,2404.0,4.0,3.0,3,14.0,1,0,0,,408000.0
Uptown,780.0,3.0,1.0,1,45.0,3,0,0,,166500.0
Downtown,923.0,1.0,1.0,2,12.0,2,1,0,,268000.0
Midtown,4865.0,3.0,3.0,3,10.0,3,0,0,2001.0,811600.0
Midtown,4749.0,3.0,2.0,0,44.0,3,0,0,2006.0,719900.0
Rural,2250.0,4.0,2.0,2,25.0,2,1,0,,307400.0
Midtown,2467.0,4.0,2.0,0,21.0,3,1,0,,458900.0
Midtown,4588.0,3.0,1.0,1,27.0,1,1,1,,728300.0
Midtown,4678.0,2.0,1.0,2,23.0,1,1,0,2001.0,670200.0
Midtown,3446.0,4.0,1.0,1,28.0,1,0,0,2018.0,539300.0
Suburb,1949.0,5.0,1.0,1,8.0,1,0,1,2004.0,337200.0
Suburb,2831.0,5.0,4.0,1,41.0,2,0,0,,453500.0
Rural,2720.0,1.0,1.0,1,3.0,3,1,0,,320600.0
Downtown,4289.0,3.0,2.0,1,48.0,3,1,0,,847900.0
Midtown,3310.0,2.0,1.0,2,45.0,1,1,0,2011.0,470800.0
Downtown,2031.0,1.0,1.0,0,17.0,1,1,0,,394700.0
Downtown,3490.0,3.0,2.0,2,42.0,3,0,0,,707700.0
Rural,4993.0,4.0,1.0,2,15.0,2,1,0,2009.0,521800.0
Midtown,1643.0,5.0,3.0,2,32.0,3,0,0,,355200.0
Midtown,1433.0,6.0,2.0,3,28.0,1,1,1,,404000.0
Uptown,1960.0,2.0,1.0,3,38.0,1,1,0,2011.0,336800.0
Downtown,3223.0,6.0,3.0,2,9.0,2,1,1,,905500.0
Downtown,3012.0,5.0,1.0,0,8.0,3,1,1,,713500.0
Suburb,785.0,6.0,4.0,2,30.0,2,1,0,,267800.0
Uptown,764.0,4.0,4.0,1,27.0,2,0,1,,315800.0
Suburb,2867.0,3.0,2.0,3,2.0,1,0,0,,469500.0
Suburb,3947.0,4.0,1.0,3,13.0,3,1,1,2003.0,589700.0
Suburb,2262.0,6.0,1.0,2,24.0,1,0,0,,340700.0
Rural,3548.0,4.0,4.0,2,14.0,3,1,0,2011.0,382800.0
Rural,2881.0,5.0,,0,1.0,1,1,0,,384900.0
Suburb,2769.0,2.0,1.0,0,23.0,1,1,0,,343500.0
Uptown,540.0,4.0,4.0,1,13.0,3,1,1,,410500.0
Downtown,567.0,5.0,5.0,2,47.0,3,0,1,,363400.0
Uptown,1487.0,2.0,2.0,2,6.0,1,1,0,,356800.0
Midtown,4508.0,3.0,2.0,2,35.0,3,1,1,,722100.0
Rural,3698.0,6.0,6.0,3,49.0,1,1,0,2005.0,470500.0
Downtown,3024.0,3.0,1.0,1,23.0,3,0,0,,629100.0
Downtown,1585.0,1.0,1.0,0,26.0,1,1,0,2011.0,276600.0
Midtown,2979.0,5.0,3.0,3,36.0,1,0,0,,496100.0
Midtown,2193.0,2.0,1.0,3,37.0,1,1,0,,368500.0
Suburb,2815.0,4.0,3.0,3,29.0,2,0,0,,391200.0
Rural,1278.0,3.0,2.0,3,26.0,3,1,0,,182100.0
Rural,2085.0,2.0,2.0,1,38.0,1,1,0,2015.0,217700.0
Uptown,1992.0,5.0,3.0,2,14.0,2,0,0,2019.0,489700.0
Suburb,1160.0,1.0,1.0,0,25.0,1,0,0,,127100.0
Suburb,1848.0,3.0,2.0,0,0.0,2,1,0,,361300.0
Suburb,1799.0,6.0,2.0,3,3.0,1,0,1,2012.0,369400.0
Suburb,4440.0,2.0,1.0,3,28.0,1,1,1,,517500.0
Rural,2486.0,6.0,4.0,1,,2,1,0,,317700.0
Rural,2544.0,2.0,2.0,3,42.0,2,1,0,,288700.0
Suburb,4016.0,2.0,1.0,0,49.0,3,1,1,,454400.0
Uptown,1558.0,5.0,4.0,0,45.0,3,0,0,,381500.0
Downtown,1476.0,5.0,4.0,2,21.0,2,0,0,2000.0,438300.0
Downtown,1227.0,5.0,2.0,2,10.0,3,0,0,2019.0,407200.0
Uptown,3027.0,4.0,1.0,0,9.0,2,1,0,2013.0,609900.0
Suburb,3636.0,2.0,1.0,0,16.0,3,1,0,,414700.0
Rural,842.0,3.0,2.0,1,35.0,1,0,0,2012.0,102200.0
Downtown,1947.0,6.0,4.0,1,,3,0,0,2001.0,493600.0
Midtown,2879.0,5.0,2.0,0,25.0,1,1,0,2013.0,464900.0
Midtown,4159.0,5.0,5.0,3,47.0,1,1,1,,749600.0
Uptown,1026.0,6.0,2.0,2,20.0,3,1,0,2004.0,349300.0
Suburb,2396.0,6.0,2.0,0,12.0,2,1,0,,428000.0
Downtown,2573.0,2.0,2.0,3,8.0,1,1,0,2018.0,561900.0
Suburb,905.0,5.0,4.0,0,10.0,1,0,0,,241100.0
Downtown,2073.0,6.0,,2,10.0,3,1,1,,802500.0
Uptown,4240.0,4.0,4.0,2,5.0,2,1,0,,772500.0
Uptown,4774.0,4.0,1.0,1,0.0,2,1,1,2014.0,894600.0
Midtown,4727.0,5.0,5.0,1,5.0,3,1,0,,869800.0
Suburb,2346.0,6.0,5.0,1,12.0,2,0,0,2004.0,442600.0
Midtown,1978.0,2.0,1.0,1,21.0,3,0,0,2020.0,317100.0
Suburb,2895.0,2.0,1.0,2,30.0,3,1,0,2023.0,412800.0
Midtown,1271.0,2.0,2.0,3,21.0,3,0,1,2001.0,316100.0
Rural,1078.0,1.0,1.0,3,36.0,1,1,0,2017.0,122800.0
Rural,3401.0,5.0,4.0,3,46.0,1,1,0,2023.0,368800.0
